Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Ni,Pd,Re,Sc,Si,Ta,Ti,V,W,Y,Zn,Zr
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.0,0.0,0.17241379,0.17241379,0.0,0.17241379,0.0,0.0,0.0,0.0,0.13793103,0.0,0.0,0.17241379,0.17241379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.17857143,0.17857143,0.0,0.17857143,0.0,0.0,0.0,0.0,0.10714286,0.0,0.0,0.17857143,0.17857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.18518519,0.18518519,0.0,0.18518519,0.0,0.0,0.0,0.0,0.07407407,0.0,0.0,0.18518519,0.18518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.19230769,0.19230769,0.0,0.19230769,0.0,0.0,0.0,0.0,0.03846154,0.0,0.0,0.19230769,0.19230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03921569,0.0,0.0,0.0,0.18627451,0.18627451,0.03921569,0.18627451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3627451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.08,0.0,0.0,0.0,0.17,0.17,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09090909,0.0,0.0,0.0,0.18181818,0.18181818,0.18181818,0.18181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.14563107,0.0,0.0,0.00970874,0.0,0.0,0.0,0.0,0.0,0.0,0.36893204,0.46601942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00970874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.15,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.15,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.15,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.16666667,0.0,0.0,0.0,0.16666667,0.16666667,0.16666667,0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.199,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.001,0.0,0.0
0.0,0.23076923,0.0,0.0,0.0,0.15384615,0.15384615,0.15384615,0.15384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.28571429,0.0,0.0,0.0,0.14285714,0.14285714,0.14285714,0.14285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.36,0.0,0.0,0.0,0.1,0.31,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
